Cultivar;AP;AE;POP;AC;QB;CICLO;UD;REND;FP;FC;MB;MC;MT;TECNO;PLANTA
20 STBP 0002VIP3;173;73;55.2;1;1;Pre;17.6;3362;;;0.7;0;5.2;VIP3;0
20 STBP 0008VIP3;176;86;55.7;0;2;PREC;19.2;3604;;;2.1;0;1.9;VIP3;0
AG 8480 PRO3;192;92;58.6;2;1;PREC;18.5;4867;;;0.1;0.1;0.2;PRO3;1
AG 8780 PRO3;194;85;60.1;1;3;PREC;20;4778;;;1.4;0.1;0.1;PRO3;0
AG 9000 PRO3;190;94;58.8;1;2;Super-precoce;16.7;4516;;;0.8;0.1;0.5;PRO3;0
AG 9050 PRO3;197;93;65.1;1;1;PREC;18.1;4481;;;0.6;0;4.1;PRO3;0
AGN 2M01PRO3;197;104;62.3;1;4;Precoce;20.3;;;;0.2;0;0.8;PRO3;0
AGN 2M60PRO3;206;108;63.3;12;7;PREC;22.7;4121;;;0.2;0;0.8;PRO3;0
AGN 2M66PRO3;550;99;61.8;7;3;PREC;22.1;5490;;;0.4;0.1;0.1;PRO3;1
AGN 2M77PRO3;201;102;62.2;3;3;Pre;21.7;4052;;;0.4;0.1;0.4;PRO3;0
AGN 2M88PRO3;191;102;57.1;3;1;PREC;21.9;4994;;;0.2;0;0.5;PRO3;1
AS 1844 PRO3;191;93;59.3;0;2;Super-precoce;18.4;4766;;;0.1;0;0.3;PRO3;0
AS 1850 PRO3;206;105;56.8;1;3;PREC;21.7;4671;;;0.1;0;0.8;PRO3;0
BALU 1983;-45;108;55.4;9;7;PREC;20.7;3755;;;0.6;0;1.9;;0
BM880PRO3;201;99;57.8;6;1;SPrec;16.9;5255;;;0.1;0;1.4;PRO3;1
BM930PRO2;184;99;62;3;7;PREC;16.1;4920;;;2.1;0.1;0.4;PRO2;1
DGX20T20;184;99;61.4;5;2;Pre;21.3;2853;;;1;0;1;;0
DGX20T21;210;114;60.3;6;12;PREC;18.3;5079;;;0.3;0;0.4;;1
DKB 255 PRO3;208;107;64.3;0;3;SP;18;5264;;;0.2;0;1;PRO3;1
DKB 265 PRO3;194;94;66.3;1;2;SP;16.8;4715;;;0.5;0.1;0.4;PRO3;0
DKB 290 PRO3;211;109;57.6;2;2;PREC;21.3;4399;;;1.3;0;0.3;PRO3;0
Exp B001;206;105;56.3;2;5;PREC;18.3;3972;;;0.9;0;0.4;;0
Exp B002;174;94;58.6;1;3;Precoce;19.5;3556;;;0.6;0;1.1;;0
Exp B003;209;111;54.8;2;4;PREC;18.5;4304;;;1.1;0.2;0.3;;0
Exp B004;182;99;54.2;2;3;PREC;19;3794;;;0.5;0;3.1;;0
Exp B005;190;103;57.1;6;2;Precoce;19.4;3773;;;0.2;0;2.6;;0
FORMULA VIP2;183;85;59.9;0;3;PREC;18.1;3896;;;2;0.1;0.6;VIP2;0
FS 575 PWU;193;103;63.7;4;1;PREC;22.4;4815;;;0.5;0.1;2.3;PWU;1
HBU 184645K;183;89;56.9;1;2;Pre;17.2;3931;;;0.4;0;3.1;;0
Jmen 2M91PRO3;186;91;53.3;3;2;PREC;19.6;3943;;;0.1;0;0.7;PRO3;0
K7500VIP3;203;107;61.5;4;3;PREC;21;4487;;;0.2;0.1;0.9;VIP3;0
K9660PRO2;196;108;63.4;1;11;PREC;21.1;4305;;;0.1;0.1;0.8;PRO2;0
MG 408 PWU;193;99;58.8;3;8;PREC;18.4;4932;;;0.8;0;1.6;PWU;1
MG 545 PWU;195;104;57.7;2;1;PREC;18.6;4600;;;0.7;0;1;PWU;0
MG 593 PWU;192;98;61.8;2;5;PREC;19.5;4945;;;1.4;0;0.7;PWU;1
P2770 VYHR;182;87;63.2;1;3;Pre;14.9;3228;;;0.9;0;2.9;VYHR;0
P3016 VYHR;212;108;61.3;2;2;PREC;15.7;4100;;;1;0.1;0.9;VYHR;0
P3016 VYHR;212;108;61.3;2;2;PREC;15.7;4100;;;1;0.1;0.9;VYHR;0
P30F53 VYHR;183;94;63.5;1;15;PREC;20.7;3620;;;0.4;0;1.6;VYHR;0
SS 182E VIP3;193;107;62.8;5;1;Precoce;21.5;4528;;;0.9;0;6.3;VIP3;0
SS 193E VIP3;190;101;63.6;13;2;PREC;17.8;4292;;;0.2;0;4.4;VIP3;0
SUPREMO VIP3;198;106;61.9;5;1;SP;21.9;15200;;;0.8;0;3.1;VIP3;0
SX 8555VIP3;201;98;61.8;9;1;PREC;24.1;3794;;;0.5;0;3.5;VIP3;0
SXB 178VIP3;197;98;65.7;1;1;SP;17.1;;;;1.2;0;3.1;VIP3;0
SXD 238VIP3;191;99;65.4;2;1;Super-precoce;20.5;5070;;;1.1;0.1;2.5;VIP3;1
SXDE 3339VIP3;197;107;63.9;8;1;SPrec;22.4;4742;;;0.5;0.1;1.9;VIP3;0
SYE 9049VIP3;205;104;67.5;14;3;PREC;22.2;3778;;;1.4;0.2;6.9;VIP3;0
XB 6012RG;204;117;52.8;22;7;PREC;24.1;3714;;;0.7;0;0.8;;0
XBX 6017VIP3;204;101;63.4;1;2;PREC;17.6;4930;;;1.5;0.1;3.8;VIP3;1
XBX 6023VIP3;192;104;63.6;6;1;PREC;23.3;4791;;;0.6;0;2.9;VIP3;0
XBX 6041VIP3;202;99;65.8;3;1;SPrec;21.2;4824;;;0.9;0.1;0.5;VIP3;1
